,word,count
1242,sitting,1
1243,far,5
1244,prostitutes,1
1245,horror,1
1246,fat,1
1247,baton,1
1248,personnel,1
1249,balancing,1
1250,difference,1
1251,treating,1
1252,heaven,1
1254,celebrity,1
1255,list,1
1256,joined,1
1257,large,2
1258,undone,1
1259,saudi,1
1260,small,1
1261,economically,1
1262,benjamin,1
1263,ten,5
1264,skin,1
1265,ted,2
1266,steinle,2
1267,preposterous,1
1268,past,6
1269,soleimani,4
1270,rate,7
1271,greenspan,1
1272,lawyer,2
1273,pass,3
1274,ribbon,1
1275,quicken,4
1276,stood,1
1277,booing,2
1278,pulpit,1
1279,public,3
1280,contrast,1
1281,womb,2
1282,hasn,3
1283,full,2
1284,iran,18
1285,humvees,1
1286,answers,1
1287,hours,3
1288,shouldn,6
1289,operating,2
1290,november,2
1291,strong,5
1292,arena,5
1293,speeches,1
1294,bible,1
1295,ahead,3
1296,difficulty,1
1297,siamese,1
1298,compliance,1
1299,experience,2
1300,social,19
1301,action,1
1302,murdering,1
1303,narrow,1
1304,uniquely,1
1305,megyn,17
1306,family,6
1307,partnering,1
1308,obamacare,8
1309,commandments,1
1310,put,14
1311,purveyors,1
1312,aimed,2
1313,gosh,1
1314,armed,2
1315,two,15
1316,6,5
1317,taken,6
1318,lowering,1
1319,israel,12
1320,door,1
1321,knows,2
1322,company,1
1323,putin,4
1324,site,1
1325,flag,1
1326,corleone,1
1327,basically,1
1328,broke,3
1329,particular,2
1330,cunning,1
1331,respected,1
1332,none,1
1333,debates,1
1334,salvador,1
1335,recall,1
1336,coalition,1
1337,nine,1
1338,sent,1
1339,evolved,3
1340,learn,3
1341,male,19
1342,history,2
1343,beautiful,1
1344,challenging,1
1345,share,3
1346,accept,3
1347,states,27
1348,fiorina,2
1349,sense,4
1350,mainstream,1
1351,!,8
1352,huge,1
1353,needs,4
1354,court,6
1355,broadly,2
1356,rather,6
1357,acts,1
1358,utilize,1
1359,hugs,3
1360,rapists,1
1361,plant,1
1362,tried,2
1363,brett,5
1364,retirement,9
1365,tries,1
1366,plane,1
1367,blood,2
1368,coming,12
1369,response,2
1370,short,1
1371,crippling,1
1372,anytime,1
1373,coal,1
1374,shore,1
1375,broadcasting,1
1376,responsibility,4
1377,fundamental,2
1378,putting,3
1379,dream,5
1380,baier,64
1381,help,4
1382,september,4
1383,essence,1
1384,mission,1
1385,trade,6
1386,held,2
1387,paper,1
1388,scott,2
1389,committee,3
1390,committed,1
1391,hell,2
1392,suffer,2
1393,islam,1
1394,24,2
1395,messed,2
1396,style,1
1397,27,1
1398,rapidly,1
1399,22,1
1400,susceptible,1
1401,29,2
1402,actually,13
1403,late,3
1404,strange,1
1405,disagrees,1
1406,founders,1
1407,might,4
1408,ally,2
1409,defunded,1
1410,colleague,1
1411,wouldn,5
1412,someone,10
1413,somebody,3
1414,buffoon,1
1415,communities,2
1416,iranians,2
1417,bigger,3
1418,payer,5
1419,always,3
1420,bless,1
1421,quds,1
1422,found,1
1423,week,4
1424,everyone,3
1425,generation,2
1426,house,3
1427,energy,4
1428,hard,5
1429,positioned,1
1430,idea,1
1431,gun,1
1432,amiracle,1
1433,extended,1
1434,expect,2
1435,defund,1
1436,beyond,5
1437,event,2
1438,really,14
1439,try,3
1440,perry,1
1441,funding,3
1442,since,9
1443,trusts,1
1444,safety,2
1445,7,1
1446,darling,1
1447,issue,10
1448,dunk,1
1449,wisconsin,8
1450,bully,1
1451,timothy,1
1452,favored,1
1453,guess,1
1454,nationally,2
1455,pleasant,1
1456,dynastic,1
1457,reason,3
1458,base,1
1459,proxy,1
1460,members,1
1461,ask,15
1462,rises,1
1463,loads,1
1464,guest,1
1465,director,1
1466,benefits,1
1467,submarines,1
1468,sicker,1
1469,cheering,8
1470,american,21
1471,bumper,1
1472,assign,1
